wilayah,tahun,ipm,kemiskinan,geo_name
Sukoharjo,2019,76.84,7.14,SUKOHARJO
Sukoharjo,2020,76.98,7.68,SUKOHARJO
Sukoharjo,2021,77.13,8.23,SUKOHARJO
Sukoharjo,2022,77.94,7.61,SUKOHARJO
Sukoharjo,2023,78.65,7.58,SUKOHARJO
Sukoharjo,2024,79.3,7.47,SUKOHARJO
Sumba Barat,2015,61.36,30.56,SUMBA BARAT
Sumba Barat,2016,61.85,29.34,SUMBA BARAT
Sumba Barat,2017,62.3,29.28,SUMBA BARAT
Sumba Barat,2018,62.91,28.51,SUMBA BARAT
Sumba Barat,2019,63.56,28.29,SUMBA BARAT
Sumba Barat,2020,63.53,28.17,SUMBA BARAT
Sumba Barat,2021,63.83,28.39,SUMBA BARAT
Sumba Barat,2022,64.43,27.47,SUMBA BARAT
Sumba Barat,2023,65.22,27.17,SUMBA BARAT
Sumba Barat,2024,66.06,26.52,SUMBA BARAT
Sumba Barat Daya,2015,60.53,30.01,SUMBA BARAT DAYA
Sumba Barat Daya,2016,61.31,30.63,SUMBA BARAT DAYA
Sumba Barat Daya,2017,61.46,30.13,SUMBA BARAT DAYA
Sumba Barat Daya,2018,61.89,28.88,SUMBA BARAT DAYA
Sumba Barat Daya,2019,62.6,28.06,SUMBA BARAT DAYA
Sumba Barat Daya,2020,62.28,28.0,SUMBA BARAT DAYA
Sumba Barat Daya,2021,62.29,28.18,SUMBA BARAT DAYA
Sumba Barat Daya,2022,63.15,27.16,SUMBA BARAT DAYA
Sumba Barat Daya,2023,63.74,27.48,SUMBA BARAT DAYA
Sumba Barat Daya,2024,64.27,27.2,SUMBA BARAT DAYA
Sumba Tengah,2015,57.91,36.22,SUMBA TENGAH
Sumba Tengah,2016,58.52,36.55,SUMBA TENGAH
Sumba Tengah,2017,59.39,36.01,SUMBA TENGAH
Sumba Tengah,2018,60.07,34.85,SUMBA TENGAH
Sumba Tengah,2019,61.01,34.62,SUMBA TENGAH
Sumba Tengah,2020,61.53,34.49,SUMBA TENGAH
Sumba Tengah,2021,61.8,34.27,SUMBA TENGAH
Sumba Tengah,2022,62.71,32.51,SUMBA TENGAH
Sumba Tengah,2023,63.48,31.78,SUMBA TENGAH
Sumba Tengah,2024,64.31,30.84,SUMBA TENGAH
Sumba Timur,2015,62.54,31.74,SUMBA TIMUR
Sumba Timur,2016,63.22,31.43,SUMBA TIMUR
Sumba Timur,2017,64.19,31.03,SUMBA TIMUR
Sumba Timur,2018,64.65,30.13,SUMBA TIMUR
Sumba Timur,2019,65.34,30.02,SUMBA TIMUR
Sumba Timur,2020,65.52,29.65,SUMBA TIMUR
Sumba Timur,2021,65.74,29.68,SUMBA TIMUR
Sumba Timur,2022,66.17,28.22,SUMBA TIMUR
Sumba Timur,2023,67.05,28.08,SUMBA TIMUR
Sumba Timur,2024,67.68,27.04,SUMBA TIMUR
Sumbawa,2015,63.91,16.73,SUMBAWA
Sumbawa,2016,64.89,16.12,SUMBAWA
Sumbawa,2017,65.84,15.31,SUMBAWA
Sumbawa,2018,66.77,14.08,SUMBAWA
Sumbawa,2019,67.6,13.9,SUMBAWA
Sumbawa,2020,67.61,13.65,SUMBAWA
Sumbawa,2021,68.01,13.91,SUMBAWA
Sumbawa,2022,68.89,13.5,SUMBAWA
Sumbawa,2023,69.87,13.91,SUMBAWA
Sumbawa,2024,70.55,12.87,SUMBAWA
Sumbawa Barat,2015,68.38,16.97,SUMBAWA BARAT
Sumbawa Barat,2016,69.26,16.5,SUMBAWA BARAT
Sumbawa Barat,2017,70.08,15.96,SUMBAWA BARAT
Sumbawa Barat,2018,70.71,14.17,SUMBAWA BARAT
Sumbawa Barat,2019,71.52,13.85,SUMBAWA BARAT
Sumbawa Barat,2020,71.63,13.34,SUMBAWA BARAT
Sumbawa Barat,2021,71.85,13.54,SUMBAWA BARAT
Sumbawa Barat,2022,72.65,13.02,SUMBAWA BARAT
Sumbawa Barat,2023,73.17,12.95,SUMBAWA BARAT
Sumbawa Barat,2024,73.86,12.23,SUMBAWA BARAT
Sumedang,2015,69.29,11.36,SUMEDANG
Sumedang,2016,69.45,10.57,SUMEDANG
Sumedang,2017,70.07,10.53,SUMEDANG
Sumedang,2018,70.99,9.76,SUMEDANG
Sumedang,2019,71.46,9.05,SUMEDANG
Sumedang,2020,71.64,10.26,SUMEDANG
Sumedang,2021,71.8,10.71,SUMEDANG
Sumedang,2022,72.69,10.14,SUMEDANG
Sumedang,2023,73.18,9.36,SUMEDANG
Sumedang,2024,73.73,9.1,SUMEDANG
Sumenep,2015,62.38,20.2,SUMENEP
Sumenep,2016,63.42,20.09,SUMENEP
Sumenep,2017,64.28,19.62,SUMENEP
Sumenep,2018,65.25,20.16,SUMENEP
Sumenep,2019,66.22,19.48,SUMENEP
Sumenep,2020,66.43,20.18,SUMENEP
Sumenep,2021,67.04,20.51,SUMENEP
Sumenep,2022,67.87,18.76,SUMENEP
Sumenep,2023,68.61,18.7,SUMENEP
Sumenep,2024,69.26,17.78,SUMENEP
Supiori,2015,60.09,39.25,SUPIORI
Supiori,2016,60.59,37.99,SUPIORI
Supiori,2017,61.23,37.4,SUPIORI
Supiori,2018,61.84,39.22,SUPIORI
Supiori,2019,62.3,38.79,SUPIORI
Supiori,2020,62.3,36.91,SUPIORI
Supiori,2021,62.72,37.91,SUPIORI
Supiori,2022,63.65,37.7,SUPIORI
Supiori,2023,64.61,36.99,SUPIORI
Supiori,2024,65.15,37.72,SUPIORI
Tabalong,2015,69.35,6.59,TABALONG
Tabalong,2016,70.07,6.35,TABALONG
Tabalong,2017,70.76,6.09,TABALONG
Tabalong,2018,71.14,5.95,TABALONG
Tabalong,2019,71.78,6.01,TABALONG
Tabalong,2020,72.19,5.72,TABALONG
Tabalong,2021,72.6,6.27,TABALONG
Tabalong,2022,73.13,5.87,TABALONG
Tabalong,2023,73.85,5.77,TABALONG
Tabalong,2024,74.41,5.64,TABALONG
Tabanan,2015,73.54,5.52,TABANAN
Tabanan,2016,74.19,5.0,TABANAN
Tabanan,2017,74.86,4.92,TABANAN
Tabanan,2018,75.45,4.46,TABANAN
Tabanan,2019,76.16,4.21,TABANAN
Tabanan,2020,76.17,4.27,TABANAN
Tabanan,2021,76.45,5.12,TABANAN
Tabanan,2022,76.75,5.18,TABANAN
Tabanan,2023,77.43,4.7,TABANAN
Tabanan,2024,78.42,4.4,TABANAN
Takalar,2015,64.07,9.48,TAKALAR
Takalar,2016,64.96,9.35,TAKALAR
Takalar,2017,65.48,9.24,TAKALAR
Takalar,2018,66.07,9.0,TAKALAR
Takalar,2019,66.94,8.7,TAKALAR
Takalar,2020,67.31,8.44,TAKALAR
Takalar,2021,67.72,8.25,TAKALAR
Takalar,2022,68.31,8.25,TAKALAR
Takalar,2023,68.9,8.29,TAKALAR
Takalar,2024,69.47,7.75,TAKALAR
Tambrauw,2015,49.77,38.11,TAMBRAUW
Tambrauw,2015,,38.11,TAMBRAUW
Tambrauw,2016,50.35,36.67,TAMBRAUW
Tambrauw,2016,,36.67,TAMBRAUW
Tambrauw,2017,51.01,35.99,TAMBRAUW
Tambrauw,2017,,35.99,TAMBRAUW
Tambrauw,2018,51.95,34.59,TAMBRAUW
Tambrauw,2018,,34.59,TAMBRAUW
Tambrauw,2019,52.9,33.66,TAMBRAUW
Tambrauw,2019,,33.66,TAMBRAUW
Tambrauw,2020,53.45,32.8,TAMBRAUW
Tambrauw,2020,,32.8,TAMBRAUW
Tambrauw,2021,53.71,33.86,TAMBRAUW
Tambrauw,2021,,33.86,TAMBRAUW
Tambrauw,2022,54.63,32.45,TAMBRAUW
Tambrauw,2022,54.63,32.45,TAMBRAUW
Tambrauw,2023,55.55,31.23,TAMBRAUW
Tambrauw,2023,55.55,31.23,TAMBRAUW
Tambrauw,2024,,29.88,TAMBRAUW
Tambrauw,2024,56.32,29.88,TAMBRAUW
Tana Tidung,2015,64.92,6.35,TANA TIDUNG
Tana Tidung,2016,65.64,6.11,TANA TIDUNG
Tana Tidung,2017,66.26,6.63,TANA TIDUNG
Tana Tidung,2018,67.05,5.08,TANA TIDUNG
Tana Tidung,2019,67.79,4.72,TANA TIDUNG
Tana Tidung,2020,66.97,4.81,TANA TIDUNG
Tana Tidung,2021,67.76,5.15,TANA TIDUNG
Tana Tidung,2022,68.6,4.45,TANA TIDUNG
Tana Tidung,2023,69.2,4.62,TANA TIDUNG
Tana Tidung,2024,70.08,4.47,TANA TIDUNG
Tana Toraja,2015,65.75,12.46,TANA TORAJA
Tana Toraja,2016,66.25,12.36,TANA TORAJA
Tana Toraja,2017,66.82,12.62,TANA TORAJA
Tana Toraja,2018,67.66,12.75,TANA TORAJA
Tana Toraja,2019,68.25,12.35,TANA TORAJA
Tana Toraja,2020,68.75,12.1,TANA TORAJA
Tana Toraja,2021,69.49,12.27,TANA TORAJA
Tana Toraja,2022,69.88,12.18,TANA TORAJA
